"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
92e877b7-5f19-423d-b3ba-6ce5be7f872d,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,62d6514c-7ec1-4028-a69b-f1b498ea05ec,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
97502d00-9efd-497b-b7f0-55824085ef46,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,68063cab-0162-422f-9d62-3b512adaf838,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
9e5383cf-7ee4-409d-8915-fb20d5ddca9e,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,b32bdfa4-cacc-4392-b3e5-105bec49eafb,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a131d43f-654e-4c13-a64b-df55cd71c72a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,1ede97ab-5cc4-45ea-a7a6-934db8c02538,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a9370df5-6294-4a97-9b0c-a475d6f6c231,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,1ff6ce7b-f605-4990-be3e-47cb8f169b41,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
b69de9df-2b14-41e7-ac0f-21e5ce82e200,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,759c1f77-76b3-459f-8a9c-96c5a7e4574c,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
bc0cf01b-70cc-40bb-9766-5743b188506a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,a25d4f49-e677-4319-b1db-362f7d97506e,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
c0bbb3d4-748e-444e-9040-cfbae40c5058,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,a4df9c2c-de8a-48be-9801-c6ab6875d98b,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
cb3e2e7a-b161-42be-8f3d-1933dc4255b3,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,d1d5f6bf-997a-4173-b6e2-37e5f4e75214,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
d6417c5f-79f1-4bed-9e59-3ca097aa927e,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,3b0a2fba-bf95-4cb3-a7a1-d11388cd1f43,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
dfc18cc3-786d-4e33-9c63-a37e5cb8f0ce,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",2f60e047-9056-4de2-955a-a1a187c52797,"#N/A","#N/A",11.0,86d00019-4c0d-45a3-8a05-fc33aba9da48,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
e14dd3da-cccb-4cd4-8b90-bec7bc60a906,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",6a3cf49b-3457-4d90-bf65-444bff7acb4c,"#N/A","#N/A",11.0,86d00019-4c0d-45a3-8a05-fc33aba9da48,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
e1e2edf2-c903-45c8-b60c-f484c3c21ff8,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,e1cb089f-0fd0-46cd-9bb7-f2eb4a47acdb,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
eb5e1321-6e63-487a-ae79-e8321bb0402c,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,9d072be7-d802-44f9-b9b4-f53c1d71f422,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
fda75d04-0708-4baf-b41e-067c1e269061,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,f0845a2f-1ed1-4cf3-b0ab-35abb36e90ef,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
ff20ffde-284f-4ca9-8503-dabd68848584,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,484a4aa3-408e-4bdf-8f7c-ca1786352393,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
